Anhui,China,2020-02-05 13:43:00,530,0,23,0,117,32,62000000
Arizona,United States,2020-02-01 10:00:00,1,0,0,0,-111.7632755,34.395342,7172000
Bavaria,Germany,2020-02-01 10:00:00,7,0,0,0,11.4038717,48.9467562,13000000
Beijing,China,2020-02-05 05:43:00,253,0,24,1,116.3912757,39.906217,21540000
"Boston, MA",United States,2020-02-01 19:43:00,1,0,0,0,-71.0582912,42.3602534,685000
British Columbia,Canada,2020-02-01 18:12:00,1,0,0,0,-125.002441,55.001251,5071000
California,United States,2020-02-01 10:00:00,3,0,0,0,-118.7559974,36.7014631,39560000
"Chicago, IL",United States,2020-02-01 19:43:00,2,0,0,0,-87.6244212,41.8755616,2716000
Chongqing,China,2020-02-05 09:13:00,376,0,15,2,106.5492822,29.5585712,30480000
Fujian,China,2020-02-05 12:33:00,205,0,11,0,117.842778,26.5450001,38560000
Gansu,China,2020-02-05 16:23:00,62,0,6,0,101.9999999,38.0000001,25580000
Guangdong,China,2020-02-05 13:23:00,895,0,49,0,113.1982688,23.1357694,113460000
Guangxi,China,2020-02-05 12:03:00,150,0,13,0,109,24,48380000
Guizhou,China,2020-02-05 12:33:00,64,0,9,1,107,27,34750000
Hainan,China,2020-02-05 16:43:00,99,0,5,1,109.5999999,19.2000001,9258000
Hebei,China,2020-02-05 11:23:00,135,0,6,1,116,39.0000001,74700000
Heilongjiang,China,2020-02-05 12:13:00,190,0,7,2,127.999992,48.0000047,38310000
Henan,China,2020-02-05 15:03:00,764,0,47,2,113.9999999,34.0000001,94000000
Hong Kong,Hong Kong,2020-02-05 13:13:00,21,0,0,1,114.1628131,22.2793278,7392000
Hubei,China,2020-02-05 16:43:00,16678,0,538,479,112.87832224656,31.15172525,58500000
Hunan,China,2020-02-05 15:23:00,661,0,54,0,112.009538,27.9995878,67370000
Illinois,United States,2020-02-01 10:00:00,2,0,0,0,-89.4337288,40.0796606,12740000
Inner Mongolia,China,2020-02-05 08:53:00,42,0,3,0,114.3251664,43.2443242,24710000
Jiangsu,China,2020-02-05 12:43:00,341,0,23,0,119.9999999,33.0000001,80400000
Jiangxi,China,2020-02-05 01:33:00,548,0,27,0,116,28,45200000
Jilin,China,2020-02-05 11:03:00,54,0,2,0,125.9816054,42.9995032,27460000
Liaoning,China,2020-02-05 15:23:00,89,0,4,0,122.9955469,40.9975197,43900000
"London, ON",Canada,2020-02-04 00:03:00,1,0,0,0,-81.246643,42.988576,8900000
"Los Angeles, CA",United States,2020-02-01 19:53:00,1,0,0,0,-118.2427666,34.0536909,4000000
Macau,Macau,2020-02-04 04:43:00,10,0,0,0,-36.6349957,-5.1133665,622000
New South Wales,Australia,2020-02-01 18:12:00,4,0,2,0,147.2869493,-31.8759835,7544000
Ningxia,China,2020-02-04 02:13:00,34,0,1,0,105.9999999,37.0000001,6301000
Ontario,Canada,2020-02-01 18:12:00,3,0,0,0,-86.000977,50.000678,14570000
"Orange, CA",United States,2020-02-01 19:53:00,1,0,0,0,-117.8704931,33.7500378,110000
Qinghai,China,2020-02-05 03:13:00,17,0,3,0,95.9521157324195,35.40709525,5627000
Queensland,Australia,2020-02-04 16:53:00,3,0,0,0,144.5844903,-22.1646782,5071000
"San Benito, CA",United States,2020-02-03 03:53:00,2,0,0,0,-121.1177379,36.6248089,21000
"Santa Clara, CA",United States,2020-02-03 00:43:00,2,0,0,0,-121.6846349,37.2333253,127000
"Seattle, WA",United States,2020-02-01 19:43:00,1,0,0,0,-122.3300624,47.6038321,724000
Shaanxi,China,2020-02-05 08:43:00,165,0,6,0,109,36,37330000
Shandong,China,2020-02-05 10:13:00,307,0,15,0,118.9999999,36.0000001,92480000
Shanghai,China,2020-02-05 06:23:00,243,0,15,1,121.4692071,31.2322758,24240000
Shanxi,China,2020-02-05 15:23:00,81,0,5,0,112,37,36500000
Sichuan,China,2020-02-05 10:13:00,301,0,24,1,102.4999999,30.5000001,81100000
South Australia,Australia,2020-02-02 22:33:00,2,0,0,0,135.6301212,-30.5343665,1677000
Taiwan,Taiwan,2020-02-04 14:53:00,11,0,0,0,120.9820179,23.9739374,23780000
"Tempe, AZ",United States,2020-02-01 19:43:00,1,0,0,0,-111.9400125,33.4255056,185000
Tianjin,China,2020-02-05 03:43:00,69,0,2,1,117.1980785,39.1235635,11558000
Tibet,China,2020-02-01 10:00:00,1,0,0,0,87.0781371270651,31.89434315,3180000
"Toronto, ON",Canada,2020-02-04 00:13:00,2,0,0,0,-79.387207,43.653963,2930000
Victoria,Australia,2020-02-01 18:12:00,4,0,0,0,144.6780052,-36.5986096,92000
Washington,United States,2020-02-01 10:00:00,1,0,0,0,-77.0365529,38.8948932,7536000
Xinjiang,China,2020-02-05 02:03:00,32,0,0,0,87.167384230469,41.7574769,21810000
Yunnan,China,2020-02-05 07:43:00,124,0,5,0,102,25,45970000
Zhejiang,China,2020-02-05 15:13:00,895,0,78,0,119.9999999,29.0000001,57370000
,Belgium,2020-02-04 15:43:00,1,0,0,0,4.6667145,50.6402809,11400000
,Cambodia,2020-02-03 00:43:00,1,0,0,0,104.869423,13.5066394,16010000
,Finland,2020-02-01 18:12:00,1,0,0,0,25.9209164,63.2467777,5513000
,Germany,2020-02-03 20:53:00,12,0,0,0,10.4234469,51.0834196,82790000
,India,2020-02-03 21:43:00,3,0,0,0,78.6677428,22.3511148,1339000000
,Italy,2020-02-02 03:33:00,2,0,0,0,12.674297,42.6384261,60480000
,Malaysia,2020-02-05 15:43:00,12,0,0,0,102.2656823,4.5693754,31620000
,Philippines,2020-02-02 03:33:00,2,0,0,1,122.7312101,12.7503486,104900000
,Singapore,2020-02-05 16:33:00,28,0,0,0,103.8194992,1.357107,5612000
,South Korea,2020-02-05 15:33:00,19,0,0,0,127.9408564,36.5581914,51470000
,Spain,2020-02-01 23:43:00,1,0,0,0,-4.8380649,39.3262345,46660000
