Anhui,China,2/5/2020 13:43,530,0,23,0,,62000000
Arizona,United States,2/1/2020 10:00,1,0,0,0,,7172000
Bavaria,Germany,2/1/2020 10:00,7,0,0,0,,13000000
Beijing,China,2/5/2020 5:43,253,0,24,1,,21540000
"Boston, MA",United States,2/1/2020 19:43,1,0,0,0,,685000
British Columbia,Canada,2/1/2020 18:12,1,0,0,0,,5071000
California,United States,2/1/2020 10:00,3,0,0,0,,39560000
"Chicago, IL",United States,2/1/2020 19:43,2,0,0,0,,2716000
Chongqing,China,2/5/2020 9:13,376,0,15,2,,30480000
Fujian,China,2/5/2020 12:33,205,0,11,0,,38560000
Gansu,China,2/5/2020 16:23,62,0,6,0,,25580000
Guangdong,China,2/5/2020 13:23,895,0,49,0,,113460000
Guangxi,China,2/5/2020 12:03,150,0,13,0,,48380000
Guizhou,China,2/5/2020 12:33,64,0,9,1,,34750000
Hainan,China,2/5/2020 16:43,99,0,5,1,,9258000
Hebei,China,2/5/2020 11:23,135,0,6,1,,74700000
Heilongjiang,China,2/5/2020 12:13,190,0,7,2,,38310000
Henan,China,2/5/2020 15:03,764,0,47,2,,94000000
Hong Kong,Hong Kong,2/5/2020 13:13,21,0,0,1,,7392000
Hubei,China,2/5/2020 16:43,16678,0,538,479,,58500000
Hunan,China,2/5/2020 15:23,661,0,54,0,,67370000
Illinois,United States,2/1/2020 10:00,2,0,0,0,,12740000
Inner Mongolia,China,2/5/2020 8:53,42,0,3,0,,24710000
Jiangsu,China,2/5/2020 12:43,341,0,23,0,,80400000
Jiangxi,China,2/5/2020 1:33,548,0,27,0,,45200000
Jilin,China,2/5/2020 11:03,54,0,2,0,,27460000
Liaoning,China,2/5/2020 15:23,89,0,4,0,,43900000
"London, ON",Canada,2/4/2020 0:03,1,0,0,0,,8900000
"Los Angeles, CA",United States,2/1/2020 19:53,1,0,0,0,,4000000
Macau,Macau,2/4/2020 4:43,10,0,0,0,,622000
New South Wales,Australia,2/1/2020 18:12,4,0,2,0,,7544000
Ningxia,China,2/4/2020 2:13,34,0,1,0,,6301000
Ontario,Canada,2/1/2020 18:12,3,0,0,0,,14570000
"Orange, CA",United States,2/1/2020 19:53,1,0,0,0,,110000
Qinghai,China,2/5/2020 3:13,17,0,3,0,,5627000
Queensland,Australia,2/4/2020 16:53,3,0,0,0,,5071000
"San Benito, CA",United States,2/3/2020 3:53,2,0,0,0,,21000
"Santa Clara, CA",United States,2/3/2020 0:43,2,0,0,0,,127000
"Seattle, WA",United States,2/1/2020 19:43,1,0,0,0,,724000
Shaanxi,China,2/5/2020 8:43,165,0,6,0,,37330000
Shandong,China,2/5/2020 10:13,307,0,15,0,,92480000
Shanghai,China,2/5/2020 6:23,243,0,15,1,,24240000
Shanxi,China,2/5/2020 15:23,81,0,5,0,,36500000
Sichuan,China,2/5/2020 10:13,301,0,24,1,,81100000
South Australia,Australia,2/2/2020 22:33,2,0,0,0,,1677000
Taiwan,Taiwan,2/4/2020 14:53,11,0,0,0,,23780000
"Tempe, AZ",United States,2/1/2020 19:43,1,0,0,0,,185000
Tianjin,China,2/5/2020 3:43,69,0,2,1,,11558000
Tibet,China,2/1/2020 10:00,1,0,0,0,,3180000
"Toronto, ON",Canada,2/4/2020 0:13,2,0,0,0,,2930000
Victoria,Australia,2/1/2020 18:12,4,0,0,0,,92000
Washington,United States,2/1/2020 10:00,1,0,0,0,,7536000
Xinjiang,China,2/5/2020 2:03,32,0,0,0,,21810000
Yunnan,China,2/5/2020 7:43,124,0,5,0,,45970000
Zhejiang,China,2/5/2020 15:13,895,0,78,0,,57370000
,Belgium,2/4/2020 15:43,1,0,0,0,,11400000
,Cambodia,2/3/2020 0:43,1,0,0,0,,16010000
,Finland,2/1/2020 18:12,1,0,0,0,,5513000
,Germany,2/3/2020 20:53,12,0,0,0,,82790000
,India,2/3/2020 21:43,3,0,0,0,,1339000000
,Italy,2/2/2020 3:33,2,0,0,0,,60480000
,Malaysia,2/5/2020 15:43,12,0,0,0,,31620000
,Philippines,2/2/2020 3:33,2,0,0,1,,104900000
,Singapore,2/5/2020 16:33,28,0,0,0,,5612000
,South Korea,2/5/2020 15:33,19,0,0,0,,51470000
,Spain,2/1/2020 23:43,1,0,0,0,,46660000
,Sri Lanka,2/1/2020 23:43,1,0,0,0,,21440000
,UK,2/1/2020 19:43,2,0,0,0,,66440000
,United Arab Emirates,2/2/2020 5:43,5,0,0,0,,9400000
,Japan,2/4/2020 16:43,22,0,1,0,,126800000
,Vietnam,2/3/2020 21:43,8,0,1,0,,95540000
,Thailand,2/4/2020 15:33,25,0,5,0,,68040000
,Brazil,1/23/2020 12:00,0,1,0,0,,209300000
,Colombia,1/23/2020 12:00,0,1,0,0,,49070000
,Mexico,1/23/2020 12:00,0,1,0,0,,129200000
,Australia,1/27/2020 9:00,5,0,0,0,,24600000
,France,2/1/2020 10:00,6,0,0,0,,66990000
,Ivory Coast,1/27/2020 20:30,0,0,0,0,,24290000
,Nepal,2/1/2020 10:00,1,0,0,0,,29300000
,Russia,2/1/2020 10:00,2,0,0,0,,144500000
,Sweden,2/1/2020 10:00,1,0,0,0,,10120000
